Grid	 = 128x128
numProcs = 16
left	 = 1.0
top		 = 1.0
right	 = 80.0
bottom	 = 80.0
epsilon	 = 0.1
execution time = 156 seconds, 177882 microseconds

	1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 1.00000 
	1.00000 0.990462 0.981067 0.971948 0.963232 0.955020 0.947404 0.940441 0.934174 0.928613 0.923757 0.919575 0.916032 0.913072 0.910639 0.908666 0.907093 0.905856 0.904899 0.904168 0.903621 0.903215 0.902920 0.902709 0.902559 0.902456 0.902384 0.902337 0.902305 0.902284 0.902271 0.902262 0.902257 0.902254 0.902252 0.902251 0.902250 0.902250 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902249 0.902250 0.902251 0.902252 0.902255 0.902261 0.902271 0.902290 0.902322 0.902379 0.902477 0.902642 0.902917 0.903366 0.904091 0.905240 0.907037 0.909801 0.913995 0.920257 0.929481 0.942853 0.961988 0.988951 1.02646 1.07789 1.14755 1.24062 1.36355 1.52398 1.73128 1.99646 2.33323 2.75818 3.29291 3.96576 4.81719 5.90759 7.33547 9.27393 12.0590 16.4167 24.1215 40.1137 80.0000 
	1.00000 0.981067 0.962415 0.944315 0.927008 0.910712 0.895588 0.881770 0.869325 0.858291 0.848646 0.840351 0.833314 0.827441 0.822608 0.818695 0.815570 0.813116 0.811215 0.809767 0.808679 0.807875 0.807289 0.806870 0.806573 0.806367 0.806226 0.806131 0.806068 0.806026 0.806000 0.805983 0.805973 0.805966 0.805962 0.805960 0.805959 0.805958 0.805958 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805957 0.805958 0.805959 0.805960 0.805964 0.805969 0.805981 0.806001 0.806038 0.806102 0.806215 0.806409 0.806737 0.807281 0.808172 0.809607 0.811885 0.815443 0.820924 0.829227 0.841639 0.859894 0.886390 0.924249 0.977644 1.05183 1.15360 1.29124 1.47520 1.71785 2.03445 2.44282 2.96481 3.62612 4.45890 5.50279 6.81039 8.45287 10.5343 13.2134 16.7495 21.5865 28.5188 38.9778 55.3450 80.0000 
